publication,page_number,column,entryType,full_text,x,y,width,height,entry_id,state_name
Alabama,1,0,CITY,"ABANDA, 125, CHAMBERS",297,1601,434,21,Alab_001_00_00001,ALABAMA
Alabama,1,0,CITY,"ABBEVILLE, 1,141, HENRY",297,1684,444,21,Alab_001_00_00004,ALABAMA
Alabama,1,0,CITY,"ACKERVILLE, 50, WILCOX",297,1949,444,21,Alab_001_00_00013,ALABAMA
Alabama,1,0,CITY,"ACMAR, -, ST. CLAIR",297,2010,378,21,Alab_001_00_00015,ALABAMA
Alabama,1,0,CITY,"ACTON, 1,200, SHELBY",297,2071,378,21,Alab_001_00_00017,ALABAMA
Alabama,1,0,CITY,"ADAMSVILLE, 649, JEFFERSON",297,2132,514,21,Alab_001_00_00019,ALABAMA
Alabama,1,0,CITY,"ADDISON, 100, WINSTON",297,2213,424,21,Alab_001_00_00022,ALABAMA
Alabama,1,0,CITY,"ADGER, 1,000, JEFFERSON",297,2275,474,21,Alab_001_00_00024,ALABAMA
Alabama,1,0,CITY,"AKRON, 100, HALE",297,2316,324,21,Alab_001_00_00026,ALABAMA
Alabama,1,0,CITY,"ALABAMA CITY, 4,313, ETOWAH",297,2398,554,21,Alab_001_00_00029,ALABAMA
Alabama,1,1,CITY,"ALAMUCHEE (R.D., D., CUBA), 100, SUMTER",915,1687,934,44,Alab_001_01_00036,ALABAMA
Alabama,1,1,CITY,"ALBANY, 6,118, MORORGAN",915,1752,484,24,Alab_001_01_00038,ALABAMA
Alabama,1,1,CITY,"ALBERTVILLE, 1,544,144, MARSHALL",915,2226,684,24,Alab_001_01_00052,ALABAMA
Alabama,1,2,CITY,"ALEXANDER CITY, 1,710, TALLAPOOSA",1583,1677,664,21,Alab_001_02_00066,ALABAMA
Alabama,1,2,CITY,"ALEXANDRIA, 50, CALHOUN",1583,2095,460,21,Alab_001_02_00078,ALABAMA
Alabama,1,2,CITY,"ALICEVILLE, 640, PICKENS",1583,2143,440,21,Alab_001_02_00080,ALABAMA
Alabama,1,2,CITY,"ALLGOOD, 200, BLOUNT",1583,2311,400,21,Alab_001_02_00086,ALABAMA
Alabama,1,2,CITY,"ALPINE, 100, TALLADEGA",1583,2359,440,21,Alab_001_02_00088,ALABAMA
Alabama,1,2,CITY,"ALTON, 200, JEFFERSON",1583,2455,400,21,Alab_001_02_00091,ALABAMA
Alabama,2,2,CITY,"ATMORE, 1,060, ESCAMBIA",1510,467,435,18,Alab_002_02_00102,ALABAMA
Alabama,2,2,CITY,"ATTALLA, 2,513, ETOWAH",1510,579,435,18,Alab_002_02_00107,ALABAMA
Alabama,2,2,CITY,"AUBURN, 1,408, LEE",1510,819,315,18,Alab_002_02_00115,ALABAMA
Alabama,2,2,CITY,"AUSTINVILLE (R.D., DECATUR); 1671, MORGAN",1510,979,745,34,Alab_002_02_00121,ALABAMA
Alabama,2,2,CITY,"AUTAUGAVILLE, 313, AUTAUGA",1510,1043,515,18,Alab_002_02_00123,ALABAMA
Alabama,2,2,CITY,"BAILEYTON, 63, CULLMAN",1510,1091,415,18,Alab_002_02_00125,ALABAMA
Alabama,2,2,CITY,"BAKERHILL, 20, BARBOUR",1510,1123,415,18,Alab_002_02_00127,ALABAMA
Alabama,2,2,CITY,"BANKS, 307, PIKE",1510,1171,315,18,Alab_002_02_00129,ALABAMA
Alabama,2,2,CITY,"BANKSTON, 100, FAYETTE",1510,1267,415,18,Alab_002_02_00134,ALABAMA
Alabama,2,2,CITY,"BASHI, 32, CLARKE",1510,1299,315,18,Alab_002_02_00136,ALABAMA
Alabama,2,2,CITY,"BASS STATION, 33, JACKSON",1510,1347,465,18,Alab_002_02_00138,ALABAMA
Alabama,2,2,CITY,"BATTLES WHARF, 50, BALDWIN",1510,1395,515,18,Alab_002_02_00140,ALABAMA
Alabama,2,2,CITY,"BAY MINETTE, 749, BALDWIN",1510,1443,515,18,Alab_002_02_00142,ALABAMA
Alabama,2,2,CITY,"BAYOU LABATRE, 56, MOBILE",1510,1523,515,18,Alab_002_02_00146,ALABAMA
Alabama,2,2,CITY,"BAYVIEW (WYLAM P.O.), JEFFERSON",1510,1619,645,18,Alab_002_02_00149,ALABAMA
Alabama,3,0,CITY,"BEAR CREEK, 600, MARION",265,310,245,15,Alab_003_00_00151,ALABAMA
Alabama,3,0,CITY,"BEATRICE, 345, MONROE",265,383,245,15,Alab_003_00_00154,ALABAMA
Alabama,3,0,CITY,"BEDFORD, 32, LAMAR",265,428,210,15,Alab_003_00_00156,ALABAMA
Alabama,3,0,CITY,"BELGREEN, 300, FRANKLIN",265,458,260,15,Alab_003_00_00158,ALABAMA
Alabama,3,0,CITY,"BELK, 75, FAYETTE",265,533,210,15,Alab_003_00_00161,ALABAMA
Alabama,3,0,CITY,"BELLAMY, 500, SUMTER",265,608,230,15,Alab_003_00_00164,ALABAMA
Alabama,3,0,CITY,"BELLE ELLEN, 400, BIBB",265,683,245,15,Alab_003_00_00167,ALABAMA
Alabama,3,0,CITY,"BELLE MINA, 100, LIMESTONE",265,728,280,15,Alab_003_00_00169,ALABAMA
Alabama,3,0,CITY,"BELLEVILLE, 169, CONECUH",265,773,260,15,Alab_003_00_00171,ALABAMA
Alabama,3,0,CITY,"BELLVIEW, -, WILCOX",265,818,210,15,Alab_003_00_00173,ALABAMA
Alabama,3,0,CITY,"BELTONA, -, JEFFERSON",265,863,245,15,Alab_003_00_00175,ALABAMA
Alabama,3,0,CITY,"BENTON, 600, LOWNDES",265,908,230,15,Alab_003_00_00177,ALABAMA
Alabama,3,0,CITY,"BERLIN, 75, DALLAS",265,983,210,15,Alab_003_00_00180,ALABAMA
Alabama,3,0,CITY,"BERMUDA, 100, MONROE",265,1058,245,15,Alab_003_00_00183,ALABAMA
Alabama,3,0,CITY,"BERRY, 372, FAYETTE",265,1088,230,15,Alab_003_00_00185,ALABAMA
Alabama,3,0,CITY,"BESSEMER, 15,958, JEFFERSON",265,1208,300,15,Alab_003_00_00190,ALABAMA
Alabama,6,2,CITY,"BLOWHORN (GUIN P.O.), 30, LAMAR",1579,278,550,20,Alab_006_02_00382,ALABAMA
Alabama,6,2,CITY,"BLUE SPRINGS, 117, BARBOUR",1579,344,500,20,Alab_006_02_00384,ALABAMA
Alabama,6,2,CITY,"BOAZ, 1,010, MARSHALL",1579,454,450,20,Alab_006_02_00387,ALABAMA
Alabama,6,2,CITY,"BOGUECHITTO (ELEANOR P.O.), 50, DALLAS",1579,784,650,42,Alab_006_02_00396,ALABAMA
Alabama,6,2,CITY,"BOLIGEE, 200, GREENE",1579,850,400,20,Alab_006_02_00398,ALABAMA
Alabama,6,2,CITY,"BOLLING, 350, BUTLER",1579,960,400,20,Alab_006_02_00402,ALABAMA
Alabama,6,2,CITY,"BOOTHTON, 200, SHELBY",1579,1026,400,20,Alab_006_02_00404,ALABAMA
Alabama,6,2,CITY,"BOYLES, -, JEFFERSON",1579,1070,400,20,Alab_006_02_00406,ALABAMA
Alabama,6,2,CITY,"BRADLEY (FALCO P.O.), ESCAMBIA",1579,1136,600,20,Alab_006_02_00408,ALABAMA
Alabama,6,2,CITY,"BRADLEYTON, 150, CRENSHAW",1579,1180,500,20,Alab_006_02_00410,ALABAMA
Alabama,6,2,CITY,"BRAGGS, 20, LOWNDES",1579,1224,400,20,Alab_006_02_00412,ALABAMA
Alabama,6,2,CITY,"BRANCHVILLE, 89, ST. CLAIR",1579,1290,500,20,Alab_006_02_00414,ALABAMA
Alabama,6,2,CITY,"BRANTLEY, 803, CRENSHAW",1579,1356,500,20,Alab_006_02_00416,ALABAMA
Alabama,6,2,CITY,"BREMEN, 350, CULLMAN",1579,1532,400,20,Alab_006_02_00422,ALABAMA
Alabama,6,2,CITY,"BRENT, 300, BIBB",1579,1598,350,20,Alab_006_02_00424,ALABAMA
Alabama,6,2,CITY,"BREWTON, 2,185, ESCAMBIA",1579,1664,500,20,Alab_006_02_00426,ALABAMA
Alabama,6,2,CITY,"BRIDGEPORT, 2,125, JACKSON",1579,1972,550,20,Alab_006_02_00434,ALABAMA
Alabama,6,2,CITY,"BRIGHTON, 1,502, JEFFERSON",1579,2148,550,20,Alab_006_02_00439,ALABAMA
Alabama,7,0,CITY,"BRILLIANT, 700, MARION",318,327,385,18,Alab_007_00_00546,ALABAMA
Alabama,7,0,CITY,"BROOKYLN, 350, CONECUH",318,392,425,18,Alab_007_00_00550,ALABAMA
Alabama,7,0,CITY,"BROOKSIDE, 623, JEFFERSON",318,457,450,18,Alab_007_00_00553,ALABAMA
Alabama,7,0,CITY,"BROOKWOOD, 1,500, TUSCALOOSA",318,509,520,18,Alab_007_00_00556,ALABAMA
Alabama,7,0,CITY,"BROWNS, 200, DALLAS",318,548,360,18,Alab_007_00_00559,ALABAMA
Alabama,7,0,CITY,"BRUNDIDGE, 815, PIKE",318,587,380,18,Alab_007_00_00561,ALABAMA
Alabama,7,0,CITY,"BUENA VISTA, 200, MONROE",318,795,450,18,Alab_007_00_00570,ALABAMA
Alabama,7,0,CITY,"BUHL, 200, TUSCALOOSA",318,834,420,18,Alab_007_00_00572,ALABAMA
Alabama,7,0,CITY,"BURNSVILLE, 200, DALLAS",318,912,420,18,Alab_007_00_00577,ALABAMA
Alabama,7,0,CITY,"BURNT CORN, 33, MONROE",318,951,420,18,Alab_007_00_00579,ALABAMA
