publication,page_number,column,x,y,width,height,entry_id,state_name,name,population,county_name,post_reference,post_reference_type
Alabama,1,0,297,1601,434,21,Alab_001_00_00001,ALABAMA,ABANDA,125,CHAMBERS,,
Alabama,1,0,297,1684,444,21,Alab_001_00_00004,ALABAMA,ABBEVILLE,1141,HENRY,,
Alabama,1,0,297,1949,444,21,Alab_001_00_00013,ALABAMA,ACKERVILLE,50,WILCOX,,
Alabama,1,0,297,2010,378,21,Alab_001_00_00015,ALABAMA,ACMAR,0,ST. CLAIR,,
Alabama,1,0,297,2071,378,21,Alab_001_00_00017,ALABAMA,ACTON,1200,SHELBY,,
Alabama,1,0,297,2132,514,21,Alab_001_00_00019,ALABAMA,ADAMSVILLE,649,JEFFERSON,,
Alabama,1,0,297,2213,424,21,Alab_001_00_00022,ALABAMA,ADDISON,100,WINSTON,,
Alabama,1,0,297,2275,474,21,Alab_001_00_00024,ALABAMA,ADGER,1000,JEFFERSON,,
Alabama,1,0,297,2316,324,21,Alab_001_00_00026,ALABAMA,AKRON,100,HALE,,
Alabama,1,0,297,2398,554,21,Alab_001_00_00029,ALABAMA,ALABAMA CITY,4313,ETOWAH,,
Alabama,1,1,915,1687,934,44,Alab_001_01_00036,ALABAMA,ALAMUCHEE,100,SUMTER,"D., CUBA",R.D.
Alabama,1,1,915,1752,484,24,Alab_001_01_00038,ALABAMA,ALBANY,6118,MORORGAN,,
Alabama,1,1,915,2226,684,24,Alab_001_01_00052,ALABAMA,ALBERTVILLE,1544144,MARSHALL,,
Alabama,1,2,1583,1677,664,21,Alab_001_02_00066,ALABAMA,ALEXANDER CITY,1710,TALLAPOOSA,,
Alabama,1,2,1583,2095,460,21,Alab_001_02_00078,ALABAMA,ALEXANDRIA,50,CALHOUN,,
Alabama,1,2,1583,2143,440,21,Alab_001_02_00080,ALABAMA,ALICEVILLE,640,PICKENS,,
Alabama,1,2,1583,2311,400,21,Alab_001_02_00086,ALABAMA,ALLGOOD,200,BLOUNT,,
Alabama,1,2,1583,2359,440,21,Alab_001_02_00088,ALABAMA,ALPINE,100,TALLADEGA,,
Alabama,1,2,1583,2455,400,21,Alab_001_02_00091,ALABAMA,ALTON,200,JEFFERSON,,
Alabama,2,2,1510,467,435,18,Alab_002_02_00102,ALABAMA,ATMORE,1060,ESCAMBIA,,
Alabama,2,2,1510,579,435,18,Alab_002_02_00107,ALABAMA,ATTALLA,2513,ETOWAH,,
Alabama,2,2,1510,819,315,18,Alab_002_02_00115,ALABAMA,AUBURN,1408,LEE,,
Alabama,2,2,1510,979,745,34,Alab_002_02_00121,ALABAMA,AUSTINVILLE,1671,MORGAN,DECATUR,R.D.
Alabama,2,2,1510,1043,515,18,Alab_002_02_00123,ALABAMA,AUTAUGAVILLE,313,AUTAUGA,,
Alabama,2,2,1510,1091,415,18,Alab_002_02_00125,ALABAMA,BAILEYTON,63,CULLMAN,,
Alabama,2,2,1510,1123,415,18,Alab_002_02_00127,ALABAMA,BAKERHILL,20,BARBOUR,,
Alabama,2,2,1510,1171,315,18,Alab_002_02_00129,ALABAMA,BANKS,307,PIKE,,
Alabama,2,2,1510,1267,415,18,Alab_002_02_00134,ALABAMA,BANKSTON,100,FAYETTE,,
Alabama,2,2,1510,1299,315,18,Alab_002_02_00136,ALABAMA,BASHI,32,CLARKE,,
Alabama,2,2,1510,1347,465,18,Alab_002_02_00138,ALABAMA,BASS STATION,33,JACKSON,,
Alabama,2,2,1510,1395,515,18,Alab_002_02_00140,ALABAMA,BATTLES WHARF,50,BALDWIN,,
Alabama,2,2,1510,1443,515,18,Alab_002_02_00142,ALABAMA,BAY MINETTE,749,BALDWIN,,
Alabama,2,2,1510,1523,515,18,Alab_002_02_00146,ALABAMA,BAYOU LABATRE,56,MOBILE,,
Alabama,2,2,1510,1619,645,18,Alab_002_02_00149,ALABAMA,BAYVIEW,0,JEFFERSON,WYLAM P.O.,P.O.
Alabama,3,0,265,310,245,15,Alab_003_00_00151,ALABAMA,BEAR CREEK,600,MARION,,
Alabama,3,0,265,383,245,15,Alab_003_00_00154,ALABAMA,BEATRICE,345,MONROE,,
Alabama,3,0,265,428,210,15,Alab_003_00_00156,ALABAMA,BEDFORD,32,LAMAR,,
Alabama,3,0,265,458,260,15,Alab_003_00_00158,ALABAMA,BELGREEN,300,FRANKLIN,,
Alabama,3,0,265,533,210,15,Alab_003_00_00161,ALABAMA,BELK,75,FAYETTE,,
Alabama,3,0,265,608,230,15,Alab_003_00_00164,ALABAMA,BELLAMY,500,SUMTER,,
Alabama,3,0,265,683,245,15,Alab_003_00_00167,ALABAMA,BELLE ELLEN,400,BIBB,,
Alabama,3,0,265,728,280,15,Alab_003_00_00169,ALABAMA,BELLE MINA,100,LIMESTONE,,
Alabama,3,0,265,773,260,15,Alab_003_00_00171,ALABAMA,BELLEVILLE,169,CONECUH,,
Alabama,3,0,265,818,210,15,Alab_003_00_00173,ALABAMA,BELLVIEW,0,WILCOX,,
Alabama,3,0,265,863,245,15,Alab_003_00_00175,ALABAMA,BELTONA,0,JEFFERSON,,
Alabama,3,0,265,908,230,15,Alab_003_00_00177,ALABAMA,BENTON,600,LOWNDES,,
Alabama,3,0,265,983,210,15,Alab_003_00_00180,ALABAMA,BERLIN,75,DALLAS,,
Alabama,3,0,265,1058,245,15,Alab_003_00_00183,ALABAMA,BERMUDA,100,MONROE,,
Alabama,3,0,265,1088,230,15,Alab_003_00_00185,ALABAMA,BERRY,372,FAYETTE,,
Alabama,3,0,265,1208,300,15,Alab_003_00_00190,ALABAMA,BESSEMER,15958,JEFFERSON,,
Alabama,6,2,1579,278,550,20,Alab_006_02_00382,ALABAMA,BLOWHORN,30,LAMAR,GUIN,P.O.
Alabama,6,2,1579,344,500,20,Alab_006_02_00384,ALABAMA,BLUE SPRINGS,117,BARBOUR,,
Alabama,6,2,1579,454,450,20,Alab_006_02_00387,ALABAMA,BOAZ,1010,MARSHALL,,
Alabama,6,2,1579,784,650,42,Alab_006_02_00396,ALABAMA,BOGUECHITTO,50,DALLAS,ELEANOR,P.O.
Alabama,6,2,1579,850,400,20,Alab_006_02_00398,ALABAMA,BOLIGEE,200,GREENE,,
