publication,page_number,column,entryType,full_text,x,y,width,height,entry_id,state_name
Alabama,1,0,CITY,"ABANDA, 125, CHAMBERS",297,1601,434,21,Alab_001_00_00001,ALABAMA
Alabama,1,0,CITY,"ABBEVILLE, 1,141, HENRY",297,1684,444,21,Alab_001_00_00004,ALABAMA
Alabama,1,0,CITY,"ACKERVILLE, 50, WILCOX",297,1949,444,21,Alab_001_00_00013,ALABAMA
Alabama,1,0,CITY,"ACMAR, -, ST. CLAIR",297,2010,378,21,Alab_001_00_00015,ALABAMA
Alabama,1,0,CITY,"ACTON, 1,200, SHELBY",297,2071,378,21,Alab_001_00_00017,ALABAMA
Alabama,1,0,CITY,"ADAMSVILLE, 649, JEFFERSON",297,2132,514,21,Alab_001_00_00019,ALABAMA
Alabama,1,0,CITY,"ADDISON, 100, WINSTON",297,2213,424,21,Alab_001_00_00022,ALABAMA
Alabama,1,0,CITY,"ADGER, 1,000, JEFFERSON",297,2275,474,21,Alab_001_00_00024,ALABAMA
Alabama,1,0,CITY,"AKRON, 100, HALE",297,2316,324,21,Alab_001_00_00026,ALABAMA
Alabama,1,0,CITY,"ALABAMA CITY, 4,313, ETOWAH",297,2398,554,21,Alab_001_00_00029,ALABAMA
Alabama,1,1,CITY,"ALAMUCHEE (R.D., D., CUBA), 100, SUMTER",915,1687,934,44,Alab_001_01_00036,ALABAMA
Alabama,1,1,CITY,"ALBANY, 6,118, MORORGAN",915,1752,484,24,Alab_001_01_00038,ALABAMA
Alabama,1,1,CITY,"ALBERTVILLE, 1,544,144, MARSHALL",915,2226,684,24,Alab_001_01_00052,ALABAMA
Alabama,1,2,CITY,"ALEXANDER CITY, 1,710, TALLAPOOSA",1583,1677,664,21,Alab_001_02_00066,ALABAMA
Alabama,1,2,CITY,"ALEXANDRIA, 50, CALHOUN",1583,2095,460,21,Alab_001_02_00078,ALABAMA
Alabama,1,2,CITY,"ALICEVILLE, 640, PICKENS",1583,2143,440,21,Alab_001_02_00080,ALABAMA
Alabama,1,2,CITY,"ALLGOOD, 200, BLOUNT",1583,2311,400,21,Alab_001_02_00086,ALABAMA
Alabama,1,2,CITY,"ALPINE, 100, TALLADEGA",1583,2359,440,21,Alab_001_02_00088,ALABAMA
Alabama,1,2,CITY,"ALTON, 200, JEFFERSON",1583,2455,400,21,Alab_001_02_00091,ALABAMA
Alabama,2,0,CITY,"ALTOONA, 1,071, ETOWAH",241,237,384,13,Alab_002_00_00093,ALABAMA
Alabama,2,0,CITY,"AMERICA, 100, WALKER",241,312,360,13,Alab_002_00_00097,ALABAMA
Alabama,2,0,CITY,"ANDALUSIA, 2,480, COVINGTON",241,366,468,13,Alab_002_00_00100,ALABAMA
Alabama,2,0,CITY,"ANNISTON, 13,898, CALHOUN",241,526,432,13,Alab_002_00_00111,ALABAMA
Alabama,2,1,CITY,"ANSLEY, 50, PIKE",866,525,314,28,Alab_002_01_00144,ALABAMA
Alabama,2,1,CITY,"ARAB, 150, MARSHALL",866,615,414,28,Alab_002_01_00147,ALABAMA
Alabama,2,1,CITY,"ARITON, 431, DALE",866,705,360,28,Alab_002_01_00151,ALABAMA
Alabama,2,1,CITY,"ARKADELPHIA, 207, CULLMAN",866,867,514,28,Alab_002_01_00156,ALABAMA
Alabama,2,1,CITY,"ARKWRIGHT, 100, SHELBY",866,957,460,28,Alab_002_01_00160,ALABAMA
Alabama,2,1,CITY,"ARLEY, 10, WINSTON",866,1011,360,28,Alab_002_01_00162,ALABAMA
Alabama,2,1,CITY,"ASHFORD, 479, HOUSTON",866,1047,460,28,Alab_002_01_00164,ALABAMA
Alabama,2,1,CITY,"ASHLAND, 1,062, CLAY",866,1227,414,28,Alab_002_01_00170,ALABAMA
Alabama,2,1,CITY,"ASHVILLE, 278, ST. CLAIR",866,1479,514,28,Alab_002_01_00179,ALABAMA
Alabama,2,1,CITY,"ASPEL, 26, JACKSON",866,1587,360,28,Alab_002_01_00183,ALABAMA
Alabama,2,1,CITY,"ATHENS, 1,715, LIMESTONE",866,1623,514,28,Alab_002_01_00185,ALABAMA
Alabama,2,2,CITY,"ATMORE, 1,060, ESCAMBIA",1510,467,435,18,Alab_002_02_00203,ALABAMA
Alabama,2,2,CITY,"ATTALLA, 2,513, ETOWAH",1510,579,435,18,Alab_002_02_00208,ALABAMA
Alabama,2,2,CITY,"AUBURN, 1,408, LEE",1510,819,315,18,Alab_002_02_00216,ALABAMA
Alabama,2,2,CITY,"AUSTINVILLE (R.D., DECATUR); 1671, MORGAN",1510,979,745,34,Alab_002_02_00222,ALABAMA
Alabama,2,2,CITY,"AUTAUGAVILLE, 313, AUTAUGA",1510,1043,515,18,Alab_002_02_00224,ALABAMA
Alabama,2,2,CITY,"BAILEYTON, 63, CULLMAN",1510,1091,415,18,Alab_002_02_00226,ALABAMA
Alabama,2,2,CITY,"BAKERHILL, 20, BARBOUR",1510,1123,415,18,Alab_002_02_00228,ALABAMA
Alabama,2,2,CITY,"BANKS, 307, PIKE",1510,1171,315,18,Alab_002_02_00230,ALABAMA
Alabama,2,2,CITY,"BANKSTON, 100, FAYETTE",1510,1267,415,18,Alab_002_02_00235,ALABAMA
Alabama,2,2,CITY,"BASHI, 32, CLARKE",1510,1299,315,18,Alab_002_02_00237,ALABAMA
Alabama,2,2,CITY,"BASS STATION, 33, JACKSON",1510,1347,465,18,Alab_002_02_00239,ALABAMA
Alabama,2,2,CITY,"BATTLES WHARF, 50, BALDWIN",1510,1395,515,18,Alab_002_02_00241,ALABAMA
Alabama,2,2,CITY,"BAY MINETTE, 749, BALDWIN",1510,1443,515,18,Alab_002_02_00243,ALABAMA
Alabama,2,2,CITY,"BAYOU LABATRE, 56, MOBILE",1510,1523,515,18,Alab_002_02_00247,ALABAMA
Alabama,2,2,CITY,"BAYVIEW (WYLAM P.O.), JEFFERSON",1510,1619,645,18,Alab_002_02_00250,ALABAMA
Alabama,3,0,CITY,"BEAR CREEK, 600, MARION",265,310,245,15,Alab_003_00_00252,ALABAMA
Alabama,3,0,CITY,"BEATRICE, 345, MONROE",265,383,245,15,Alab_003_00_00255,ALABAMA
Alabama,3,0,CITY,"BEDFORD, 32, LAMAR",265,428,210,15,Alab_003_00_00257,ALABAMA
Alabama,3,0,CITY,"BELGREEN, 300, FRANKLIN",265,458,260,15,Alab_003_00_00259,ALABAMA
Alabama,3,0,CITY,"BELK, 75, FAYETTE",265,533,210,15,Alab_003_00_00262,ALABAMA
Alabama,3,0,CITY,"BELLAMY, 500, SUMTER",265,608,230,15,Alab_003_00_00265,ALABAMA
Alabama,3,0,CITY,"BELLE ELLEN, 400, BIBB",265,683,245,15,Alab_003_00_00268,ALABAMA
Alabama,3,0,CITY,"BELLE MINA, 100, LIMESTONE",265,728,280,15,Alab_003_00_00270,ALABAMA
Alabama,3,0,CITY,"BELLEVILLE, 169, CONECUH",265,773,260,15,Alab_003_00_00272,ALABAMA
Alabama,3,0,CITY,"BELLVIEW, -, WILCOX",265,818,210,15,Alab_003_00_00274,ALABAMA
Alabama,3,0,CITY,"BELTONA, -, JEFFERSON",265,863,245,15,Alab_003_00_00276,ALABAMA
Alabama,3,0,CITY,"BENTON, 600, LOWNDES",265,908,230,15,Alab_003_00_00278,ALABAMA
Alabama,3,0,CITY,"BERLIN, 75, DALLAS",265,983,210,15,Alab_003_00_00281,ALABAMA
Alabama,3,0,CITY,"BERMUDA, 100, MONROE",265,1058,245,15,Alab_003_00_00284,ALABAMA
Alabama,3,0,CITY,"BERRY, 372, FAYETTE",265,1088,230,15,Alab_003_00_00286,ALABAMA
Alabama,3,0,CITY,"BESSEMER, 15,958, JEFFERSON",265,1208,300,15,Alab_003_00_00291,ALABAMA
Alabama,3,1,CITY,"BEULAH, (R.F.D., BBLANTON), 118, LEE",915,1173,305,12,Alab_003_01_00337,ALABAMA
Alabama,3,1,CITY,"BEXAR, 300, MARIONN",915,1209,180,12,Alab_003_01_00339,ALABAMA
Alabama,3,1,CITY,"BILLINGSLEY, 256, AUTAUGA",915,1257,220,12,Alab_003_01_00342,ALABAMA
Alabama,3,1,CITY,"BIRMINGHAM, 174,108, JEFFERSON",915,1317,260,12,Alab_003_01_00345,ALABAMA
Alabama,6,1,CITY,"BLACK, 485, GENEVA",939,1051,175,14,Alab_006_01_00650,ALABAMA
Alabama,6,1,CITY,"BLADON SPRINGS, 440, CHOCTAW",939,1116,232,14,Alab_006_01_00653,ALABAMA
Alabama,6,1,CITY,"BLANTON, 250, LEE",939,1142,142,14,Alab_006_01_00655,ALABAMA
Alabama,6,1,CITY,"BLOCTON, 2,500, BIBB",939,1168,163,14,Alab_006_01_00657,ALABAMA
Alabama,6,1,CITY,"BLOSSBURG, 1,500, JEFFERSON",939,1363,211,14,Alab_006_01_00665,ALABAMA
Alabama,6,1,CITY,"BLOUNT SPRINGS, 300, BLOUNT",939,1402,211,14,Alab_006_01_00667,ALABAMA
Alabama,6,1,CITY,"BLOUNTSVILLE, 287, BLOUNT",939,1441,195,14,Alab_006_01_00669,ALABAMA
Alabama,6,2,CITY,"BLOWHORN (GUIN P.O.), 30, LAMAR",1579,278,550,20,Alab_006_02_00674,ALABAMA
Alabama,6,2,CITY,"BLUE SPRINGS, 117, BARBOUR",1579,344,500,20,Alab_006_02_00676,ALABAMA
Alabama,6,2,CITY,"BOAZ, 1,010, MARSHALL",1579,454,450,20,Alab_006_02_00679,ALABAMA
