publication,page_number,column,x,y,width,height,entry_id,state_name,name,population,county_name,post_reference,post_reference_type
Alabama,1,0,297,1601,434,21,Alab_001_00_00001,ALABAMA,ABANDA,125.0,CHAMBERS,,
Alabama,1,0,297,1684,444,21,Alab_001_00_00004,ALABAMA,ABBEVILLE,1141.0,HENRY,,
Alabama,1,0,297,1949,444,21,Alab_001_00_00013,ALABAMA,ACKERVILLE,50.0,WILCOX,,
Alabama,1,0,297,2010,378,21,Alab_001_00_00015,ALABAMA,ACMAR,,ST. CLAIR,,
Alabama,1,0,297,2071,378,21,Alab_001_00_00017,ALABAMA,ACTON,1200.0,SHELBY,,
Alabama,1,0,297,2132,514,21,Alab_001_00_00019,ALABAMA,ADAMSVILLE,649.0,JEFFERSON,,
Alabama,1,0,297,2213,424,21,Alab_001_00_00022,ALABAMA,ADDISON,100.0,WINSTON,,
Alabama,1,0,297,2275,474,21,Alab_001_00_00024,ALABAMA,ADGER,1000.0,JEFFERSON,,
Alabama,1,0,297,2316,324,21,Alab_001_00_00026,ALABAMA,AKRON,100.0,HALE,,
Alabama,1,0,297,2398,554,21,Alab_001_00_00029,ALABAMA,ALABAMA CITY,4313.0,ETOWAH,,
Alabama,1,1,915,1687,934,44,Alab_001_01_00036,ALABAMA,ALAMUCHEE,100.0,SUMTER,CUBA,RD
Alabama,1,1,915,1752,484,24,Alab_001_01_00038,ALABAMA,ALBANY,6118.0,MORORGAN,,
Alabama,1,1,915,2226,684,24,Alab_001_01_00052,ALABAMA,ALBERTVILLE,1544144.0,MARSHALL,,
Alabama,1,2,1583,1677,664,21,Alab_001_02_00066,ALABAMA,ALEXANDER CITY,1710.0,TALLAPOOSA,,
Alabama,1,2,1583,2095,460,21,Alab_001_02_00078,ALABAMA,ALEXANDRIA,50.0,CALHOUN,,
Alabama,1,2,1583,2143,440,21,Alab_001_02_00080,ALABAMA,ALICEVILLE,640.0,PICKENS,,
Alabama,1,2,1583,2311,400,21,Alab_001_02_00086,ALABAMA,ALLGOOD,200.0,BLOUNT,,
Alabama,1,2,1583,2359,440,21,Alab_001_02_00088,ALABAMA,ALPINE,100.0,TALLADEGA,,
Alabama,1,2,1583,2455,400,21,Alab_001_02_00091,ALABAMA,ALTON,200.0,JEFFERSON,,
Alabama,2,0,241,237,384,13,Alab_002_00_00093,ALABAMA,ALTOONA,1071.0,ETOWAH,,
Alabama,2,0,241,312,360,13,Alab_002_00_00097,ALABAMA,AMERICA,100.0,WALKER,,
Alabama,2,0,241,366,468,13,Alab_002_00_00100,ALABAMA,ANDALUSIA,2480.0,COVINGTON,,
Alabama,2,0,241,526,432,13,Alab_002_00_00111,ALABAMA,ANNISTON,13898.0,CALHOUN,,
Alabama,2,1,866,525,314,28,Alab_002_01_00144,ALABAMA,ANSLEY,50.0,PIKE,,
Alabama,2,1,866,615,414,28,Alab_002_01_00147,ALABAMA,ARAB,150.0,MARSHALL,,
Alabama,2,1,866,705,360,28,Alab_002_01_00151,ALABAMA,ARITON,431.0,DALE,,
Alabama,2,1,866,867,514,28,Alab_002_01_00156,ALABAMA,ARKADELPHIA,207.0,CULLMAN,,
Alabama,2,1,866,957,460,28,Alab_002_01_00160,ALABAMA,ARKWRIGHT,100.0,SHELBY,,
Alabama,2,1,866,1011,360,28,Alab_002_01_00162,ALABAMA,ARLEY,10.0,WINSTON,,
Alabama,2,1,866,1047,460,28,Alab_002_01_00164,ALABAMA,ASHFORD,479.0,HOUSTON,,
Alabama,2,1,866,1227,414,28,Alab_002_01_00170,ALABAMA,ASHLAND,1062.0,CLAY,,
Alabama,2,1,866,1479,514,28,Alab_002_01_00179,ALABAMA,ASHVILLE,278.0,ST. CLAIR,,
Alabama,2,1,866,1587,360,28,Alab_002_01_00183,ALABAMA,ASPEL,26.0,JACKSON,,
Alabama,2,1,866,1623,514,28,Alab_002_01_00185,ALABAMA,ATHENS,1715.0,LIMESTONE,,
Alabama,2,2,1510,467,435,18,Alab_002_02_00203,ALABAMA,ATMORE,1060.0,ESCAMBIA,,
Alabama,2,2,1510,579,435,18,Alab_002_02_00208,ALABAMA,ATTALLA,2513.0,ETOWAH,,
Alabama,2,2,1510,819,315,18,Alab_002_02_00216,ALABAMA,AUBURN,1408.0,LEE,,
Alabama,2,2,1510,979,745,34,Alab_002_02_00222,ALABAMA,AUSTINVILLE,1671.0,MORGAN,DECATUR,RD
Alabama,2,2,1510,1043,515,18,Alab_002_02_00224,ALABAMA,AUTAUGAVILLE,313.0,AUTAUGA,,
Alabama,2,2,1510,1091,415,18,Alab_002_02_00226,ALABAMA,BAILEYTON,63.0,CULLMAN,,
Alabama,2,2,1510,1123,415,18,Alab_002_02_00228,ALABAMA,BAKERHILL,20.0,BARBOUR,,
Alabama,2,2,1510,1171,315,18,Alab_002_02_00230,ALABAMA,BANKS,307.0,PIKE,,
Alabama,2,2,1510,1267,415,18,Alab_002_02_00235,ALABAMA,BANKSTON,100.0,FAYETTE,,
Alabama,2,2,1510,1299,315,18,Alab_002_02_00237,ALABAMA,BASHI,32.0,CLARKE,,
Alabama,2,2,1510,1347,465,18,Alab_002_02_00239,ALABAMA,BASS STATION,33.0,JACKSON,,
Alabama,2,2,1510,1395,515,18,Alab_002_02_00241,ALABAMA,BATTLES WHARF,50.0,BALDWIN,,
Alabama,2,2,1510,1443,515,18,Alab_002_02_00243,ALABAMA,BAY MINETTE,749.0,BALDWIN,,
Alabama,2,2,1510,1523,515,18,Alab_002_02_00247,ALABAMA,BAYOU LABATRE,56.0,MOBILE,,
Alabama,2,2,1510,1619,645,18,Alab_002_02_00250,ALABAMA,BAYVIEW,,JEFFERSON,WYLAM,PO
Alabama,3,0,265,310,245,15,Alab_003_00_00252,ALABAMA,BEAR CREEK,600.0,MARION,,
Alabama,3,0,265,383,245,15,Alab_003_00_00255,ALABAMA,BEATRICE,345.0,MONROE,,
Alabama,3,0,265,428,210,15,Alab_003_00_00257,ALABAMA,BEDFORD,32.0,LAMAR,,
Alabama,3,0,265,458,260,15,Alab_003_00_00259,ALABAMA,BELGREEN,300.0,FRANKLIN,,
Alabama,3,0,265,533,210,15,Alab_003_00_00262,ALABAMA,BELK,75.0,FAYETTE,,
Alabama,3,0,265,608,230,15,Alab_003_00_00265,ALABAMA,BELLAMY,500.0,SUMTER,,
Alabama,3,0,265,683,245,15,Alab_003_00_00268,ALABAMA,BELLE ELLEN,400.0,BIBB,,
Alabama,3,0,265,728,280,15,Alab_003_00_00270,ALABAMA,BELLE MINA,100.0,LIMESTONE,,
Alabama,3,0,265,773,260,15,Alab_003_00_00272,ALABAMA,BELLEVILLE,169.0,CONECUH,,
Alabama,3,0,265,818,210,15,Alab_003_00_00274,ALABAMA,BELLVIEW,,WILCOX,,
Alabama,3,0,265,863,245,15,Alab_003_00_00276,ALABAMA,BELTONA,,JEFFERSON,,
Alabama,3,0,265,908,230,15,Alab_003_00_00278,ALABAMA,BENTON,600.0,LOWNDES,,
Alabama,3,0,265,983,210,15,Alab_003_00_00281,ALABAMA,BERLIN,75.0,DALLAS,,
Alabama,3,0,265,1058,245,15,Alab_003_00_00284,ALABAMA,BERMUDA,100.0,MONROE,,
Alabama,3,0,265,1088,230,15,Alab_003_00_00286,ALABAMA,BERRY,372.0,FAYETTE,,
Alabama,3,0,265,1208,300,15,Alab_003_00_00291,ALABAMA,BESSEMER,15958.0,JEFFERSON,,
Alabama,3,1,915,1173,305,12,Alab_003_01_00337,ALABAMA,BEULAH,118.0,LEE,BBLANTON,R.F.D.
